Absolute Time (s),Current (A),Voltage (V)
31.93198916459656,0.027684,5.0
31.941989164596556,0.0276836,5.0
31.951989164596558,0.0276839,5.0
31.96198916459656,0.027684,5.0
31.971989164596557,0.0276841,5.0
31.98198916459656,0.0276839,5.0
31.991989164596557,0.0276841,5.0
32.00198916459656,0.0276839,5.0
32.01198916459656,0.027684,5.0
32.021989164596555,0.0276837,5.0
32.03198916459656,0.0276838,5.0
32.04198916459656,0.0276838,4.99999
32.051989164596556,0.0276839,5.0
32.06198916459656,0.0276838,5.0
32.07198916459656,0.0276839,5.0
32.08198916459656,0.0276839,5.0
32.091989164596555,0.0276841,5.0
32.10198916459656,0.027684,5.0
32.11198916459656,0.0276839,5.0
32.121989164596556,0.0276839,5.0
32.13198916459656,0.027684,5.0
32.14198916459656,0.0276838,5.0
32.15198916459656,0.027684,5.0
32.161989164596555,0.0276839,5.0
32.17198916459656,0.0276841,5.0
32.18198916459656,0.0276838,5.0
32.191989164596556,0.0276839,5.0
32.201989164596554,0.0276838,5.0
32.21198916459656,0.0276837,5.0
32.22198916459656,0.0276837,5.0
32.231989164596555,0.0276839,5.0
32.24198916459656,0.0276837,5.0
32.25198916459656,0.0276838,5.0
32.26198916459656,0.0276838,5.0
32.271989164596555,0.0276837,5.0
32.28198916459656,0.0276839,5.0
32.29198916459656,0.0276839,5.0
32.301989164596556,0.0276836,5.0
32.31198916459656,0.0276837,5.0
32.32198916459656,0.0276838,5.0
32.33198916459656,0.0276838,5.0
32.341989164596555,0.0276837,5.0
32.35198916459656,0.0276837,5.0
32.36198916459656,0.0276838,5.0
32.371989164596556,0.0276839,5.0
32.38198916459656,0.0276836,5.0
32.39198916459656,0.0276839,5.0
32.40198916459656,0.027684,5.0
32.411989164596555,0.0276837,5.0
32.42198916459656,0.0276838,5.0
32.43198916459656,0.0276838,5.0
32.441989164596556,0.0276837,5.0
32.451989164596554,0.0276838,5.0
32.46198916459656,0.0276837,5.0
32.47198916459656,0.0276838,5.0
32.481989164596555,0.0276838,5.0
32.49198916459656,0.0276837,5.0
32.50198916459656,0.0276838,5.0
32.51198916459656,0.0276838,5.0
32.521989164596555,0.0276836,5.0
32.53198916459656,0.0276837,5.0
32.54198916459656,0.0276837,5.0
32.551989164596556,0.0276839,5.0
32.56198916459656,0.0276838,5.0
32.57198916459656,0.0276838,5.0
32.58198916459656,0.0276838,5.0
32.591989164596555,0.0276838,5.0
32.60198916459656,0.0276837,5.0
32.61198916459656,0.0276838,5.0
32.621989164596556,0.0276836,5.0
32.63198916459656,0.027684,5.0
32.64198916459656,0.0276838,5.0
32.65198916459656,0.0276839,5.0
32.661989164596555,0.0276837,4.99999
32.67198916459656,0.0276839,5.0
32.68198916459656,0.0276837,5.0
32.691989164596556,0.027684,4.99999
32.701989164596554,0.027684,5.0
32.71198916459656,0.0276841,5.0
32.72198916459656,0.0276839,5.0
32.731989164596555,0.0276841,5.0
32.74198916459656,0.0276839,5.0
32.75198916459656,0.0276839,5.0
32.76198916459656,0.027684,5.0
32.771989164596555,0.0276841,5.0
32.78198916459656,0.027684,5.0
32.79198916459656,0.0276841,5.0
32.801989164596556,0.0276838,5.0
32.81198916459656,0.0276841,5.0
32.82198916459656,0.0276839,5.0
32.83198916459656,0.027684,5.0
32.841989164596555,0.0276841,5.0
32.85198916459656,0.0276842,5.0
32.86198916459656,0.027684,5.0
32.871989164596556,0.027684,5.0
32.88198916459656,0.0276841,5.0
32.89198916459656,0.0276842,5.0
32.90198916459656,0.027684,5.0
32.911989164596555,0.0276841,5.0
32.92198916459656,0.027684,5.0
32.93198916459656,0.027684,5.0
32.941989164596556,0.0276839,5.0
32.951989164596554,0.0276838,5.0
32.96198916459656,0.0276838,5.0
32.97198916459656,0.027684,5.0
32.981989164596555,0.0276838,5.0
32.99198916459656,0.0276841,5.0
33.00198916459656,0.027684,5.0
33.01198916459656,0.0276841,5.0
33.021989164596555,0.027684,5.0
33.03198916459656,0.027684,5.0
