Absolute Time (s),Current (A),Voltage (V)
0.006040861022949219,-4.1e-06,4.99999
0.006240861022949218,-3.4e-06,4.99999
0.006440861022949219,-3.9e-06,5.00002
0.0066408610229492186,-3.7e-06,4.99999
0.006840861022949219,-3.5e-06,4.99998
0.007040861022949219,-3.6e-06,4.99998
0.007240861022949218,-3.5e-06,4.99996
0.007440861022949219,-3.9e-06,5.00001
0.007640861022949219,-3.7e-06,4.99995
0.007840861022949218,-3.4e-06,5.00002
0.008040861022949219,-3.4e-06,4.99998
0.00824086102294922,-3.6e-06,5.0
0.008440861022949218,-3.7e-06,5.00007
0.008640861022949219,-3.3e-06,5.00007
0.008840861022949219,-3.5e-06,5.00001
0.009040861022949218,-4.2e-06,5.00004
0.009240861022949218,-4.3e-06,5.00001
0.009440861022949219,-3.5e-06,5.00001
0.00964086102294922,-3.2e-06,5.00001
0.009840861022949218,-3.6e-06,5.00005
0.010040861022949219,-3.8e-06,5.00005
0.01024086102294922,-4.2e-06,5.00002
0.010440861022949218,-3.4e-06,4.99997
0.010640861022949219,-3.7e-06,5.00001
0.01084086102294922,-4.1e-06,5.00006
0.011040861022949218,-3.8e-06,5.00004
0.011240861022949218,-3.8e-06,5.0
0.011440861022949219,-4.1e-06,4.99998
0.01164086102294922,-4e-06,5.00002
0.011840861022949218,-3.5e-06,4.99996
0.012040861022949219,-4.2e-06,5.00004
0.01224086102294922,-3.8e-06,5.0
0.012440861022949218,-3.5e-06,5.00004
0.012640861022949219,-3.6e-06,5.00001
0.01284086102294922,-3.4e-06,4.99998
0.013040861022949218,-3.8e-06,5.0
0.013240861022949219,-3.9e-06,4.99995
0.013440861022949219,-3.7e-06,4.99996
0.01364086102294922,-3.1e-06,5.00003
0.013840861022949218,-3.5e-06,4.99999
0.014040861022949219,-3.8e-06,5.00001
0.01424086102294922,-3.7e-06,4.99997
0.014440861022949218,-3.7e-06,4.99998
0.014640861022949219,-3.4e-06,5.00001
0.01484086102294922,-3.7e-06,4.99999
0.015040861022949218,-3.9e-06,5.00004
0.015240861022949219,-3.9e-06,5.00004
0.015440861022949219,-3.7e-06,4.99997
0.015640861022949218,-3.3e-06,5.00005
0.01584086102294922,-3.8e-06,4.99995
0.01604086102294922,-3.4e-06,5.00001
0.016240861022949218,-4e-06,4.99996
0.01644086102294922,-3.5e-06,4.99996
0.01664086102294922,-4.1e-06,5.0
0.016840861022949218,-3.9e-06,5.00004
0.01704086102294922,-3.6e-06,5.00003
0.01724086102294922,-3.4e-06,4.99999
0.017440861022949217,-4.3e-06,4.99998
0.01764086102294922,-3.4e-06,5.00006
0.01784086102294922,-3.8e-06,4.99996
0.018040861022949217,-3.5e-06,5.00001
0.01824086102294922,-3.6e-06,5.0
0.01844086102294922,-4.2e-06,4.99997
0.018640861022949217,-4.1e-06,5.00001
0.01884086102294922,-3.3e-06,4.99997
0.019040861022949218,-3.2e-06,5.00001
0.01924086102294922,-3.7e-06,5.00004
0.01944086102294922,-3.7e-06,5.0
0.019640861022949218,-3.4e-06,4.99992
0.01984086102294922,-4e-06,4.99997
0.02004086102294922,-3.8e-06,4.99998
0.020240861022949218,-4.2e-06,5.00003
0.02044086102294922,-4.2e-06,5.00001
0.02064086102294922,-3.5e-06,4.99993
0.020840861022949218,-3.4e-06,4.99997
0.02104086102294922,-3.7e-06,4.99998
0.02124086102294922,-3.6e-06,4.99996
0.021440861022949217,-4e-06,4.99999
0.02164086102294922,-3.9e-06,5.00003
0.02184086102294922,-3.6e-06,4.99994
0.022040861022949217,-3.8e-06,5.00001
0.02224086102294922,-3.7e-06,5.00003
0.02244086102294922,-3.6e-06,4.99998
0.022640861022949217,-3.9e-06,5.00003
0.02284086102294922,-3.6e-06,4.99998
0.023040861022949218,-3.7e-06,5.0
0.02324086102294922,-3.5e-06,5.00001
0.02344086102294922,-3.8e-06,5.00006
0.023640861022949218,-3.2e-06,4.99997
0.02384086102294922,-3.6e-06,4.99999
